Number,Arrival time,X1,X2,X3,,,,,
377,9:26,13,14,27,,,,,
378,9:26,10,10,20,,,,,
379,9:27,11,10,21,,,,,
380,9:27,7,13,20,,,,,
381,9:27,9,12,22,,,,,
382,9:27,9,12,20,,,,,
383,9:27,10,11,21,,,,,
384,9:27,12,11,23,,,,,
385,9:28,10,11,21,,,,,
386,9:28,12,14,26,,,,,
387,9:29,10,12,22,,,,,
388,9:29,8,13,21,,,,,
389,9:29,13,10,23,,,,,
390,9:29,11,12,22,,,,,
391,9:29,11,14,25,,,,,
392,9:29,12,11,23,,,,,
393,9:30,11,12,23,,,,,
394,9:31,11,11,22,,,,,
395,9:31,8,12,20,,,,,
396,9:31,10,13,23,,,,,
397,9:31,8,10,18,,,,,
398,9:32,13,12,25,,,,,
399,9:32,12,14,26,,,,,
400,9:32,12,13,25,,,,,
401,9:33,9,14,23,,,,,
402,9:33,10,13,24,,,,,
403,9:33,7,14,21,,,,,
404,9:33,11,14,25,,,,,
405,9:34,11,12,23,,,,,
406,9:35,9,13,21,,,,,
407,9:35,8,12,20,,,,,
408,9:37,9,12,20,,,,,
409,9:37,10,11,21,,,,,
410,9:38,12,13,24,,,,,
411,9:39,9,14,23,,,,,
412,9:41,8,11,19,,,,,
413,9:42,8,10,18,,,,,
414,9:43,11,12,24,,,,,
415,9:43,12,13,24,,,,,
416,9:43,13,14,26,,,,,
417,9:43,13,12,24,,,,,
418,9:43,9,11,21,,,,,
419,9:44,9,11,20,,,,,
420,9:45,11,14,25,,,,,
421,9:46,13,10,23,,,,,
422,9:47,13,13,26,,,,,
423,9:47,7,11,18,,,,,
424,9:47,10,12,22,,,,,
425,9:47,8,10,18,,,,,
426,9:47,8,11,19,,,,,
427,9:47,11,14,24,,,,,
428,9:48,11,13,24,,,,,
429,9:49,8,11,19,,,,,
430,9:49,11,12,22,,,,,
431,9:49,13,10,23,,,,,
432,9:49,12,13,24,,,,,
433,9:50,10,13,23,,,,,
434,9:50,10,11,20,,,,,
435,9:50,7,10,18,,,,,
436,9:51,11,12,23,,,,,
437,9:51,11,10,22,,,,,
438,9:53,7,12,20,,,,,
439,9:54,13,12,25,,,,,
440,9:55,7,11,18,,,,,
441,9:55,10,10,21,,,,,
442,9:57,13,10,23,,,,,
443,9:57,11,12,23,,,,,
444,9:59,12,13,26,,,,,
445,9:59,10,13,23,,,,,
446,10:01,13,12,25,,,,,
447,10:02,9,14,23,,,,,
448,10:03,13,12,25,,,,,
449,10:05,10,13,22,,,,,
450,10:07,13,14,27,,,,,
451,10:09,12,11,23,,,,,
452,10:09,8,11,19,,,,,
453,10:09,11,12,23,,,,,
454,10:09,9,12,21,,,,,
455,10:10,12,10,22,,,,,
456,10:10,8,12,20,,,,,
457,10:11,10,12,22,,,,,
458,10:11,10,12,21,,,,,
459,10:12,8,14,22,,,,,
460,10:13,8,11,19,,,,,
461,10:13,7,13,20,,,,,
462,10:13,8,13,21,,,,,
463,10:14,8,10,18,,,,,
464,10:14,12,13,25,,,,,
465,10:15,11,13,24,,,,,
466,10:15,9,11,20,,,,,
467,10:17,8,12,20,,,,,
468,10:17,10,12,22,,,,,
469,10:18,10,11,21,,,,,
470,10:19,10,14,24,,,,,
471,10:19,8,12,20,,,,,
472,10:20,8,13,21,,,,,
473,10:20,10,14,24,,,,,
474,10:21,13,12,25,,,,,
475,10:21,8,11,20,,,,,
476,10:21,9,11,20,,,,,
477,10:23,13,13,25,,,,,
478,10:23,10,13,23,,,,,
479,10:23,13,13,26,,,,,
480,10:23,11,11,22,,,,,
481,10:23,12,12,25,,,,,
482,10:23,12,14,26,,,,,
483,10:25,11,11,22,,,,,
484,10:25,9,11,20,,,,,
485,10:25,13,14,26,,,,,
486,10:25,10,11,21,,,,,
487,10:26,9,10,19,,,,,
488,10:26,10,10,20,,,,,
489,10:27,9,12,21,,,,,
490,10:27,8,11,18,,,,,
491,10:27,7,14,21,,,,,
492,10:27,12,13,25,,,,,
493,10:27,9,14,23,,,,,
494,10:27,9,14,23,,,,,
495,10:29,12,13,26,,,,,
496,10:29,9,12,21,,,,,
497,10:29,11,11,22,,,,,
498,10:29,10,12,22,,,,,
499,10:30,8,12,20,,,,,
500,10:30,13,11,24,,,,,
501,10:31,13,11,24,,,,,
502,10:31,8,12,20,,,,,
503,10:31,11,12,23,,,,,
504,10:31,10,11,21,,,,,
505,10:32,10,13,23,,,,,
506,10:33,8,12,20,,,,,
507,10:33,11,12,23,,,,,
508,10:34,11,12,23,,,,,
509,10:35,9,14,23,,,,,
510,10:35,7,13,20,,,,,
511,10:35,13,11,24,,,,,
512,10:35,9,10,20,,,,,
513,10:37,8,13,22,,,,,
514,10:37,11,10,21,,,,,
515,10:37,12,12,24,,,,,
516,10:38,12,14,26,,,,,
517,10:39,12,11,23,,,,,
518,10:39,11,12,23,,,,,
519,10:39,13,11,24,,,,,
520,10:39,8,10,18,,,,,
521,10:40,9,10,19,,,,,
522,10:41,11,12,23,,,,,
523,10:41,10,13,23,,,,,
524,10:41,8,12,20,,,,,
525,10:41,9,12,21,,,,,
526,10:43,11,14,25,,,,,
527,10:44,10,11,21,,,,,
528,10:44,8,12,20,,,,,
529,10:45,8,13,21,,,,,
530,10:45,9,11,19,,,,,
531,10:45,13,12,24,,,,,
532,10:45,12,10,22,,,,,
533,10:46,8,11,19,,,,,
534,10:47,11,14,25,,,,,
535,10:47,12,11,22,,,,,
536,10:47,13,14,26,,,,,
537,10:47,12,13,25,,,,,
538,10:47,12,13,24,,,,,
